Age,workclass,education,education-num,marital,occupation,relationship,sex,capital-gain,capital loss,hours-per-week,salary
39,State-gov,Bachelors,13,Never-married,Adm-clerical,Not-in-family,Male,2174,0,40,0
50,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,,0,0,13,0
38,Private,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,Male,0,,40,0
53,Private,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,40,0
28,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Female,0,0,40,0
37,Private,,14,Married-civ-spouse,Exec-managerial,Wife,Female,0,0,40,0
49,Private,,5,Married-spouse-absent,Other-service,Not-in-family,Female,,0,16,0
52,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,,Male,0,0,45,1
31,,Masters,14,Never-married,Prof-specialty,Not-in-family,Female,14084,0,,1
42,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,5178,,40,1
37,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Male,0,,80,1
30,State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,,0,0,40,1
23,Private,Bachelors,13,Never-married,Adm-clerical,Own-child,Female,0,0,30,0
32,Private,Assoc-acdm,12,Never-married,Sales,Not-in-family,Male,0,0,50,0
34,Private,7th-8th,,Married-civ-spouse,Transport-moving,Husband,Male,0,0,45,1
25,Self-emp-not-inc,HS-grad,,Never-married,,,Male,0,0,35,0
32,Private,HS-grad,9,,Machine-op-inspct,Unmarried,Male,0,0,40,0
38,Private,11th,7,Married-civ-spouse,Sales,Husband,Male,0,0,,0
43,Self-emp-not-inc,Masters,,,Exec-managerial,Unmarried,Female,0,0,45,0
40,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,60,1
54,Private,HS-grad,9,Separated,Other-service,Unmarried,Female,0,0,,1
35,Federal-gov,9th,5,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,40,0
43,Private,11th,,Married-civ-spouse,Transport-moving,Husband,Male,0,,40,0
59,Private,HS-grad,9,Divorced,Tech-support,Unmarried,Female,,0,40,0
56,Local-gov,Bachelors,13,Married-civ-spouse,Tech-support,Husband,Male,0,,40,0
,Private,HS-grad,9,Never-married,Craft-repair,Own-child,Male,0,0,,1
39,Private,HS-grad,9,Divorced,Exec-managerial,Not-in-family,Male,0,0,80,0
49,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,1
23,Local-gov,Assoc-acdm,12,Never-married,Protective-serv,Not-in-family,Male,0,0,,0
20,Private,Some-college,10,Never-married,Sales,,Male,0,0,44,0
45,Private,Bachelors,13,Divorced,,Own-child,,0,1408,40,0
30,Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Own-child,Male,0,0,40,0
22,State-gov,Some-college,10,Married-civ-spouse,Other-service,Husband,Male,0,0,15,0
48,Private,11th,7,Never-married,Machine-op-inspct,Unmarried,Male,0,,40,0
21,Private,Some-college,,Never-married,Machine-op-inspct,Own-child,Male,0,0,40,0
19,Private,HS-grad,9,Married-AF-spouse,Adm-clerical,Wife,Female,0,,25,0
48,Self-emp-not-inc,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,40,0
31,Private,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,43,0
53,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Male,0,,40,1
24,Private,Bachelors,13,Married-civ-spouse,Tech-support,Husband,Male,0,0,50,0
49,Private,,9,Separated,Adm-clerical,Unmarried,Female,,0,40,0
,Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Male,0,0,35,0
57,Federal-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,,0
53,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,38,0
44,Private,Masters,,Divorced,Exec-managerial,Unmarried,,0,0,,0
41,State-gov,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,1
29,Private,Assoc-voc,,Never-married,Prof-specialty,Not-in-family,Male,0,0,43,0
25,Private,Some-college,10,,Exec-managerial,Wife,Female,0,0,,0
,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,Female,0,,60,0
50,Federal-gov,Bachelors,13,Divorced,Exec-managerial,Not-in-family,Male,0,0,55,0
47,Self-emp-inc,HS-grad,9,Divorced,Exec-managerial,Not-in-family,Male,0,0,60,0
43,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,Male,0,0,40,0
46,Private,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,40,1
35,,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,Male,0,0,40,1
41,Private,HS-grad,9,Married-civ-spouse,,Husband,Male,0,,48,0
30,Private,,9,Married-civ-spouse,Machine-op-inspct,Husband,Male,5013,0,40,1
30,Private,Bachelors,13,,Sales,Husband,Male,2407,0,40,0
48,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Male,0,0,40,0
42,Private,,16,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,45,0
29,Private,Some-college,10,Divorced,Tech-support,Not-in-family,Male,0,0,58,0
36,,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,0
28,Private,Some-college,10,Divorced,Adm-clerical,,Female,0,0,40,0
53,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,,0,0,40,0
49,Self-emp-inc,Some-college,,,Exec-managerial,Husband,Male,,0,50,1
19,Private,Some-college,10,Never-married,Prof-specialty,Own-child,,,0,32,0
31,Private,Bachelors,13,Separated,Sales,Own-child,Female,,0,40,0
29,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,Male,0,,70,0
23,Private,Some-college,10,Never-married,Machine-op-inspct,,Male,0,0,40,1
